,MLST best match,MLST match 2,MLST match 3,MLST match 4,MLST match 5,16S_rRNA_1 mean depth,16S_rRNA_2 mean depth,23S_rRNA_1 mean depth,23S_rRNA_2 mean depth,rdxA mean depth,vacA mean depth,yphC mean depth,gyrA mean depth,frxA mean depth,ppa mean depth,pbp1 mean depth,cagA mean depth,gyrB mean depth,efp mean depth,mutY mean depth,ureI mean depth,hsp60 mean depth,fdxB mean depth,trpC mean depth,rpoB mean depth,atpA mean depth,16S_rRNA_1 coverage,16S_rRNA_2 coverage,23S_rRNA_1 coverage,23S_rRNA_2 coverage,rdxA coverage,vacA coverage,yphC coverage,gyrA coverage,frxA coverage,ppa coverage,pbp1 coverage,cagA coverage,gyrB coverage,efp coverage,mutY coverage,ureI coverage,hsp60 coverage,fdxB coverage,trpC coverage,rpoB coverage,atpA coverage,23S_1 Mutations,23S_2 Mutations,16S_1 Mutations,16S_2 Mutations,gyrA Mutations
DC2_16p_S14,4_hspMaori (0.0),5_hspMaori (0.0),6_hspMaori (0.0),7_hspMaori (0.0),8_hspMaori (0.0),18.648,13.844,17.258249158249157,15.785185185185185,2.232594936708861,3.7178329571106095,0.07858546168958742,5.774829111379172,2.23583460949464,0.0,4.003027245206861,0.021714285714285714,4.796639379577768,0.0,0.0,0.0,5.935365853658537,8.598837209302326,0.0,5.523115577889447,0.0,1.0,0.996,1.0,1.0,0.805379746835443,0.945823927765237,0.03929273084479371,0.879372738238842,0.664624808575804,0.0,0.8849646821392533,0.010857142857142857,0.8380008616975442,0.0,0.0,0.0,0.9975609756097561,0.9920058139534884,0.0,0.9537688442211055,0.0,,,,,
DC2_19p_S15,4_hspMaori (0.0),5_hspMaori (0.0),6_hspMaori (0.0),7_hspMaori (0.0),8_hspMaori (0.0),440.2753333333333,337.318,374.06060606060606,392.84983164983163,68.45253164556962,72.38374717832957,0.0,151.70084439083232,74.76569678407351,0.0,137.05348133198788,0.16057142857142856,133.00215424386042,0.0,0.0,0.0,188.1951219512195,143.40915697674419,0.0,145.04371859296484,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.9994954591321897,0.05342857142857143,1.0,0.0,0.0,0.0,1.0,0.9774709302325582,0.0,0.9994974874371859,0.0,,,,,
DC2_1_S1,4_hspMaori (0.0),5_hspMaori (0.0),6_hspMaori (0.0),7_hspMaori (0.0),8_hspMaori (0.0),4.268,3.3193333333333332,3.5673400673400675,4.7087542087542085,0.6756329113924051,2.45372460496614,0.0,1.93124246079614,0.31852986217457885,0.0,1.6821392532795156,0.24485714285714286,0.927617406290392,0.0,0.0,0.0,1.7365853658536585,1.836482558139535,0.0,3.0814070351758795,0.0,0.994,0.8313333333333334,0.8548821548821549,0.9265993265993266,0.3987341772151899,1.0,0.0,0.8363490148773622,0.15926493108728942,0.0,0.6170534813319879,0.15028571428571427,0.5247738043946575,0.0,0.0,0.0,0.8603658536585366,0.6925872093023255,0.0,0.9206030150753769,0.0,,,,,
DC2_21_S4,4_hspMaori (0.0),5_hspMaori (0.0),6_hspMaori (0.0),7_hspMaori (0.0),8_hspMaori (0.0),61.79933333333334,52.022,59.70875420875421,51.993602693602696,16.5126582278481,9.616252821670429,0.0,20.084036992360275,10.267993874425727,0.0,15.681634712411705,0.0,16.919431279620852,0.0,0.0,0.0,28.274390243902438,18.885174418604652,0.0,53.02361809045226,0.0,1.0,0.9986666666666667,1.0,1.0,0.995253164556962,0.9977426636568849,0.0,0.9851226377161239,0.9954058192955589,0.0,0.9974772956609486,0.0,0.996122361051271,0.0,0.0,0.0,0.9963414634146341,0.9890988372093024,0.0,0.9974874371859297,0.0,,,,,
DC2_23_S5,4_hspMaori (0.0),5_hspMaori (0.0),6_hspMaori (0.0),7_hspMaori (0.0),8_hspMaori (0.0),184.73333333333332,140.652,188.53602693602693,181.0218855218855,43.653481012658226,32.56433408577878,0.0,47.9372738238842,35.5405819295559,0.0,44.74318869828456,0.12657142857142858,54.50280051701853,0.0,0.0,0.0,84.02378048780488,75.18968023255815,0.0,63.948743718592965,0.0,1.0,0.9986666666666667,1.0,1.0,0.990506329113924,0.9706546275395034,0.0,0.995979091274628,1.0,0.0,0.9949545913218971,0.10485714285714286,1.0,0.0,0.0,0.0,0.9951219512195122,0.997093023255814,0.0,0.9989949748743718,0.0,,,,,
DC2_23p_S16,4_hspMaori (0.0),5_hspMaori (0.0),6_hspMaori (0.0),7_hspMaori (0.0),8_hspMaori (0.0),13.582666666666666,8.298666666666668,5.894612794612795,7.220538720538721,0.7610759493670886,1.216704288939052,0.0,3.596702854845195,2.1225114854517613,0.0,2.2734611503531785,0.0,2.7117621714778113,0.0,0.0,0.0,4.976219512195122,2.70203488372093,0.0,3.357788944723618,0.0,0.9966666666666667,0.9993333333333333,1.0,1.0,0.4129746835443038,0.510158013544018,0.0,0.7655810213108163,0.9035222052067381,0.0,0.7547931382441978,0.0,0.8018095648427402,0.0,0.0,0.0,0.9512195121951219,0.84375,0.0,0.8055276381909547,0.0,,,,,
DC2_26_S6,4_hspMaori (0.0),5_hspMaori (0.0),6_hspMaori (0.0),7_hspMaori (0.0),8_hspMaori (0.0),107.016,67.788,87.83602693602694,85.52289562289562,13.292721518987342,15.194130925507901,0.0,28.928829915560918,27.0,0.0,27.543895055499494,0.010857142857142857,25.214131839724256,0.0,0.0,0.0,44.322560975609754,42.231831395348834,0.0,48.79849246231156,0.2108626198083067,1.0,0.998,1.0,1.0,0.9746835443037974,0.963882618510158,0.0,0.9726578206674709,0.998468606431853,0.0,0.9566094853683148,0.0054285714285714284,0.992675570874623,0.0,0.0,0.0,0.998780487804878,0.9934593023255814,0.0,0.9979899497487437,0.0,,,,,
DC2_26p_S30,76_hpEurope (3309.0),478_hpEurope (3307.0),124_hpEurope (3302.0),127_hpEurope (3298.0),148_hpEurope (3296.0),371.4753333333333,279.706,321.07744107744105,330.7074074074074,161.6487341772152,102.19187358916479,201.5088408644401,178.52714113389627,111.91271056661562,234.06297229219143,155.47325933400606,0.010857142857142857,177.00344679017664,198.15403422982885,201.2601431980907,266.9417808219178,208.92439024390245,178.93459302325581,123.65274725274725,203.82261306532664,167.06070287539936,1.0,0.9986666666666667,1.0,1.0,0.9984177215189873,1.0,1.0,0.9995979091274628,1.0,1.0,0.9994954591321897,0.0054285714285714284,1.0,1.0,1.0,1.0,0.998780487804878,1.0,1.0,1.0,1.0,,,,,
DC2_28p_S22,76_hpEurope (3309.0),478_hpEurope (3307.0),124_hpEurope (3302.0),127_hpEurope (3298.0),148_hpEurope (3296.0),1767.2393333333334,1334.108,1506.675084175084,1496.2936026936027,342.4794303797468,291.4153498871332,493.1100196463654,538.3429835142742,269.14088820826953,564.8589420654912,448.49798183652877,0.17257142857142857,505.2830676432572,547.1222493887531,462.0429594272076,1100.0496575342465,773.165243902439,600.6744186046511,287.243956043956,548.8226130653267,564.1453674121406,1.0,0.9973333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07485714285714286,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
DC2_29p_S23,478_hpEurope (3305.0),137_hpEurope (3296.0),124_hpEurope (3292.0),97_hpEurope (3289.0),151_hpEurope (3288.0),101.65,77.52333333333333,95.71414141414141,100.0077441077441,23.509493670886076,14.36117381489842,76.08055009823183,34.61761158021713,31.895865237366003,54.39294710327456,39.79263370332997,0.0,26.84489444205084,42.47677261613692,16.627684964200476,94.97945205479452,54.922560975609755,36.94113372093023,24.99120879120879,30.7321608040201,33.24121405750799,1.0,0.9973333333333333,1.0,1.0,0.9984177215189873,0.9909706546275395,1.0,0.9987937273823885,0.998468606431853,1.0,0.992936427850656,0.0,0.997845756139595,0.9975550122249389,1.0,0.9965753424657534,0.998780487804878,0.9869186046511628,1.0,0.9979899497487437,0.9984025559105432,,,,,
DC2_2_S17,76_hpEurope (3208.0),193_hpEurope (3207.0),686_hpEurope (3205.0),137_hpEurope (3204.0),134_hpEurope (3199.0),125.54933333333334,115.678,114.18047138047137,116.71043771043772,18.696202531645568,11.029345372460497,40.86051080550098,17.058303176517892,21.278713629402755,19.193954659949622,17.161453077699292,0.0,25.420077552778974,37.613691931540345,8.601431980906922,27.82191780821918,41.75609756097561,25.988372093023255,8.217582417582417,32.14874371859297,24.56549520766773,0.9893333333333333,0.996,1.0,1.0,0.9968354430379747,0.9954853273137697,0.9803536345776032,0.9694410936871733,0.996937212863706,1.0,0.9904137235116044,0.0,0.958638517880224,0.9926650366748166,0.9952267303102625,0.9965753424657534,0.9981707317073171,0.9861918604651163,1.0,0.9994974874371859,0.9936102236421726,,,,,D91N
DC2_33p_S31,478_hpEurope (3307.0),137_hpEurope (3298.0),124_hpEurope (3294.0),97_hpEurope (3291.0),151_hpEurope (3291.0),100.60933333333334,85.752,97.75925925925925,96.13737373737374,62.09493670886076,37.074492099322796,118.99410609037328,59.4238037796542,60.339969372128635,74.88161209068011,53.334006054490416,0.0,46.71865575183111,38.603911980440095,31.968973747016708,101.08219178082192,77.51463414634146,74.4251453488372,35.00659340659341,55.15175879396985,64.79712460063898,1.0,0.9966666666666667,1.0,1.0,1.0,1.0,1.0,0.9947728186570165,0.998468606431853,1.0,0.9989909182643795,0.0,0.99569151227919,1.0,1.0,1.0,0.999390243902439,0.9956395348837209,1.0,0.9994974874371859,0.9968051118210862,,,,,
DC2_34_S7,4_hspMaori (0.0),5_hspMaori (0.0),6_hspMaori (0.0),7_hspMaori (0.0),8_hspMaori (0.0),12.498666666666667,10.404666666666667,11.376767676767678,12.662962962962963,2.8401898734177213,0.5598194130925508,0.0,4.478890229191797,1.552833078101072,0.0,3.591321897073663,1.2597142857142858,3.9004739336492893,0.0,0.0,0.0,6.903048780487805,5.328488372093023,0.0,28.789447236180905,0.0,0.9993333333333333,0.974,0.9962962962962963,1.0,0.9208860759493671,0.2325056433408578,0.0,0.8488138319260152,0.6156202143950995,0.0,0.8329969727547931,0.2968571428571429,0.9538991813873331,0.0,0.0,0.0,0.899390243902439,0.8299418604651163,0.0,0.992964824120603,0.0,,,,,
DC2_35_S8,4_hspMaori (0.0),5_hspMaori (0.0),6_hspMaori (0.0),7_hspMaori (0.0),8_hspMaori (0.0),44.316,38.946,42.652188552188555,42.11548821548821,7.439873417721519,6.345372460496614,0.0,9.898673100120627,5.506891271056662,0.0,9.383955600403633,2.144857142857143,9.691081430417924,0.0,0.0,0.0,12.103658536585366,12.671511627906977,0.0,9.440201005025125,0.0,1.0,0.9946666666666667,1.0,1.0,0.9636075949367089,0.9954853273137697,0.0,0.9268194611982308,0.9280245022970903,0.0,0.9722502522704339,0.6125714285714285,0.993968117190866,0.0,0.0,0.0,0.9926829268292683,0.9694767441860465,0.0,0.9914572864321608,0.0,,,,,N87K
DC2_35p_S32,629_hpEurope (3297.0),124_hpEurope (3296.0),579_hpEurope (3288.0),198_hpEurope (3286.0),678_hpEurope (3286.0),115.28866666666667,94.43133333333333,105.76094276094275,102.37306397306398,28.890822784810126,23.943566591422123,71.1237721021611,47.36268596702855,44.77794793261868,59.77329974811083,44.8627648839556,0.0,45.36751400258509,42.31540342298288,45.16706443914081,91.69349315068493,54.55487804878049,55.50436046511628,14.657142857142857,53.231658291457286,52.246006389776355,0.992,0.998,1.0,1.0,1.0,0.9977426636568849,1.0,0.9975874547647768,0.998468606431853,0.9949622166246851,0.9989909182643795,0.0,0.997845756139595,0.9975550122249389,0.9952267303102625,1.0,0.999390243902439,0.9978197674418605,0.9956043956043956,0.9984924623115577,0.9920127795527156,,,,,
DC2_36_S9,4_hspMaori (0.0),5_hspMaori (0.0),6_hspMaori (0.0),7_hspMaori (0.0),8_hspMaori (0.0),28.986666666666668,20.197333333333333,27.111784511784514,27.850841750841752,1.9335443037974684,1.6230248306997743,0.0,8.383594692400482,4.114854517611026,0.0,9.277497477295661,0.054285714285714284,7.088754847048686,0.0,0.0,0.0,12.260975609756098,10.175872093023257,0.0,6.514070351758794,0.0,1.0,0.9786666666666667,1.0,1.0,0.759493670886076,0.7539503386004515,0.0,0.893848009650181,0.6707503828483921,0.0,0.958627648839556,0.027142857142857142,0.9396811719086601,0.0,0.0,0.0,0.9530487804878048,0.9476744186046512,0.0,0.9482412060301507,0.0,,,,,
DC2_36p_S24,629_hpEurope (3250.0),124_hpEurope (3248.0),579_hpEurope (3248.0),115_hpEurope (3242.0),672_hpEurope (3241.0),298.46933333333334,227.948,226.35084175084174,219.1909090909091,21.371835443037973,18.52370203160271,71.1827111984283,59.100924809006834,44.914241960183766,82.38790931989925,56.15993945509586,0.07828571428571429,61.52649719948298,82.82885085574573,41.25059665871122,115.67294520547945,85.95365853658537,83.43531976744185,12.953846153846154,58.78241206030151,91.69968051118211,0.9893333333333333,0.9913333333333333,1.0,1.0,0.9984177215189873,0.9977426636568849,0.9823182711198428,0.991556091676719,0.9954058192955589,0.9974811083123426,0.991422805247225,0.039142857142857146,0.993537268418785,0.9877750611246944,0.9689737470167065,0.9982876712328768,0.998780487804878,0.9890988372093024,0.967032967032967,0.9939698492462311,0.9984025559105432,,,,,
DC2_39_S10,4_hspMaori (0.0),5_hspMaori (0.0),6_hspMaori (0.0),7_hspMaori (0.0),8_hspMaori (0.0),63.506,53.26133333333333,62.092592592592595,63.83569023569024,8.890822784810126,15.054176072234762,0.0,15.356654603940491,10.192955589586523,0.0,13.316347124117053,1.8045714285714285,11.873761309780267,0.0,0.0,0.0,23.265853658536585,18.582122093023255,0.0,19.21005025125628,0.0,0.9986666666666667,0.9973333333333333,1.0,1.0,0.8164556962025317,0.945823927765237,0.0,0.971049457177322,0.9938744257274119,0.0,0.9949545913218971,0.21542857142857144,0.981473502800517,0.0,0.0,0.0,0.9896341463414634,0.9760174418604651,0.0,0.9768844221105528,0.0,,,,,?
DC2_4_S25,76_hpEurope (3121.0),193_hpEurope (3121.0),686_hpEurope (3118.0),137_hpEurope (3114.0),134_hpEurope (3113.0),88.35066666666667,75.74266666666666,62.2030303030303,63.487205387205385,10.628164556962025,11.381489841986456,30.73870333988212,20.77523120225171,10.924961715160796,15.858942065491183,18.874873864783048,0.010857142857142857,18.58121499353727,21.105134474327627,5.4105011933174225,31.45719178082192,27.49390243902439,20.794331395348838,14.276923076923078,32.49849246231156,17.08626198083067,0.9866666666666667,0.9973333333333333,1.0,1.0,0.9984177215189873,0.9864559819413092,1.0,0.9967832730197025,0.998468606431853,0.9773299748110831,0.9949545913218971,0.0054285714285714284,0.994398965962947,0.9951100244498777,0.9713603818615751,0.9982876712328768,0.999390243902439,0.9963662790697675,1.0,0.9974874371859297,0.9952076677316294,,,,,D91N
DC2_4p_S11,4_hspMaori (0.0),5_hspMaori (0.0),6_hspMaori (0.0),7_hspMaori (0.0),8_hspMaori (0.0),36.014,33.632666666666665,32.728619528619525,33.497306397306396,6.2136075949367084,1.381489841986456,0.0,9.484921592279855,4.232771822358346,0.0,7.126135216952573,0.25257142857142856,7.73287376130978,0.0,0.0,0.0,14.595121951219513,9.994912790697674,0.0,6.952763819095478,0.0,0.996,0.9926666666666667,1.0,1.0,0.9810126582278481,0.4672686230248307,0.0,0.9573783675110575,0.7075038284839203,0.0,0.9445005045408678,0.1437142857142857,0.8918569582076691,0.0,0.0,0.0,0.9853658536585366,0.9905523255813954,0.0,0.9276381909547738,0.0,,,,,?
DC2_5_S18,686_hpEurope (3317.0),663_hpNEAfrica (3310.0),130_hpEurope (3309.0),170_hpEurope (3306.0),576_hpEurope (3306.0),547.7366666666667,378.9753333333333,446.65858585858587,452.1333333333333,127.14715189873418,92.40857787810384,348.7013752455796,187.05548854041012,104.3292496171516,236.33501259445845,154.7941473259334,0.021714285714285714,377.9207238259371,239.90709046454768,142.26968973747017,446.375,252.39756097560976,268.24781976744185,89.01538461538462,191.86582914572864,237.37859424920129,1.0,0.9986666666666667,1.0,1.0,1.0,0.9977426636568849,1.0,1.0,1.0,1.0,1.0,0.0054285714285714284,1.0,1.0,1.0,1.0,1.0,1.0,0.9978021978021978,1.0,1.0,,,,,N87K
DC2_5bis_S26,686_hpEurope (3318.0),663_hpNEAfrica (3311.0),130_hpEurope (3310.0),170_hpEurope (3307.0),576_hpEurope (3307.0),318.864,239.07933333333332,299.14646464646466,288.1777777777778,99.68512658227849,87.53498871331828,322.68565815324166,157.98673100120627,107.7718223583461,187.4433249370277,137.21241170534813,0.021714285714285714,291.34984920292976,158.92665036674816,119.71121718377088,330.04794520547944,172.8201219512195,219.92151162790697,87.88131868131867,171.54723618090452,150.40575079872204,1.0,0.9986666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9994954591321897,0.0054285714285714284,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,N87K
DC2_6p_S12,4_hspMaori (0.0),5_hspMaori (0.0),6_hspMaori (0.0),7_hspMaori (0.0),8_hspMaori (0.0),7.658666666666667,7.06,9.287205387205388,9.62929292929293,1.5933544303797469,2.706546275395034,0.0,2.444712505026136,1.4854517611026035,0.0,3.287588294651867,0.09485714285714286,2.4489444205084014,0.0,0.0,0.0,4.374390243902439,2.577761627906977,0.0,2.9914572864321607,0.0,0.98,0.9713333333333334,1.0,1.0,0.629746835443038,0.9683972911963883,0.0,0.773220747889023,0.5007656967840735,0.0,0.8148335015136225,0.09257142857142857,0.6467040068935803,0.0,0.0,0.0,0.8957317073170732,0.842296511627907,0.0,0.6819095477386935,0.0,,,,,
DC2_7p_S13,4_hspMaori (0.0),5_hspMaori (0.0),6_hspMaori (0.0),7_hspMaori (0.0),8_hspMaori (0.0),45.71333333333333,35.508,39.22929292929293,36.97239057239057,6.507911392405063,17.261851015801355,0.0,9.315641334941697,6.434915773353752,0.0,11.627144298688194,0.5845714285714285,5.295131408875485,0.0,0.0,0.0,12.276829268292683,13.967296511627907,0.0,14.737185929648241,0.0,0.994,0.9966666666666667,1.0,1.0,0.7484177215189873,0.9729119638826185,0.0,0.9919581825492562,0.9938744257274119,0.0,0.9540867810292634,0.12114285714285715,0.8871176217147781,0.0,0.0,0.0,0.9902439024390244,0.9912790697674418,0.0,0.9402010050251256,0.0,,,,,
DC2_Undetermined_S0,148_hpEurope (3199.0),134_hpEurope (3198.0),153_hpEurope (3197.0),675_hpEurope (3197.0),78_hpEurope (3196.0),1820.7726666666667,1321.1933333333334,1532.5565656565657,1532.4626262626264,503.2294303797468,682.5417607223476,614.9862475442043,810.5581021310816,540.8070444104135,715.6146095717884,681.3259334006054,133.93314285714285,701.4360189573459,732.0513447432763,463.33174224343674,1079.539383561644,926.1634146341463,807.0188953488372,342.83956043956044,909.1608040201005,764.4376996805112,1.0,1.0,1.0,1.0,0.9936708860759493,0.9909706546275395,0.9960707269155207,0.9903498190591074,0.9862174578866769,1.0,0.992936427850656,0.8008571428571428,0.99138302455838,0.9951100244498777,0.9856801909307876,1.0,0.9969512195121951,0.9890988372093024,0.9846153846153847,0.9919597989949749,0.9952076677316294,,,,,
